stock_code,transaction_date,window_id,deal_amount,signal_deal_buy_amount,signal_deal_sell_amount,signed_large_active_amount,signed_mix_qr_amount,CH_rule_t,Q_rule_t,R_seed_t,large_active_buy_amount,large_active_sell_amount,small_passive_buy_amount,small_passive_sell_amount,unknown_side_amount,window_open_price,window_close_price,window_trade_count,active_inferred_count,side_fallback_count,low_fallback_count,order_age_recovered_count,order_age_missing_count,order_age_direct_count,order_age_fifo_count,order_age_unresolved_count,active_buy_count,active_sell_count,active_buy_amount,active_sell_amount,pi_max_price_impact_pct
600067.SH,20260710,28,732663,553885,178778,-562,375669,-562,375669,0,0,562,553885,178216,0,2.82,2.82,241,241,0,0,241,0,235,6,0,160,81,553885,178778,0.0035587188612098883
600067.SH,20260710,29,202866,153972,48894,0,105078,0,105078,0,0,0,153972,48894,0,2.82,2.82,133,133,0,0,133,0,133,0,0,115,18,153972,48894,0
600067.SH,20260710,30,1422741,43686,1379055,-104720,-1230649,-104720,-1230649,0,0,104720,43686,1274335,0,2.81,2.81,225,225,0,0,225,0,220,5,0,12,213,43686,1379055,-0.0035460992907800663
600067.SH,20260710,31,1920632,299396,1621236,-10308,-1311532,-10308,-1384630,0,0,10308,299396,1610928,0,2.8,2.78,321,319,0,0,309,12,293,16,12,69,250,250292,1646904,-0.010676156583629982
600067.SH,20260710,32,175600,128340,47260,0,81080,0,81080,0,0,0,128340,47260,0,2.78,2.78,89,89,0,0,89,0,89,0,0,61,28,128340,47260,0
600067.SH,20260710,33,1785368,508740,1276628,-277,-767611,-277,-505179,0,0,277,508740,1276351,0,2.78,2.78,266,266,0,0,266,0,263,3,0,133,133,639956,1145412,0
600067.SH,20260710,34,204438,142166,62272,0,79894,0,79894,0,0,0,142166,62272,0,2.78,2.78,118,118,0,0,118,0,118,0,0,57,61,142166,62272,0
600067.SH,20260710,35,1486203,220956,1265247,-22991,-1021300,-22991,-1242390,0,0,22991,220956,1242256,0,2.79,2.77,253,253,0,0,253,0,223,30,0,45,208,110411,1375792,-0.003597122302158197
600067.SH,20260710,36,285088,122745,162343,0,-39598,0,-84472,0,0,0,122745,162343,0,2.77,2.77,109,109,0,0,105,4,99,6,4,43,66,100308,184780,0
600067.SH,20260710,37,1578419,259252,1319167,0,-1059915,0,-893763,0,0,0,259252,1319167,0,2.77,2.76,336,336,0,0,329,7,308,21,7,96,240,342328,1236091,-0.003610108303249181
600067.SH,20260710,38,623918,337861,286057,0,51804,0,22548,0,0,0,337861,286057,0,2.75,2.75,213,199,0,0,204,9,178,26,9,86,113,284317,300133,-0.0036231884057970243
600067.SH,20260710,39,666274,460564,205710,2770,252084,2770,270300,0,2770,0,457794,205710,0,2.76,2.77,158,158,0,0,158,0,154,4,0,107,51,469672,196602,0.007272727272727279
600067.SH,20260710,40,178597,159829,18768,0,141061,0,141061,0,0,0,159829,18768,0,2.77,2.77,39,39,0,0,39,0,39,0,0,23,16,159829,18768,0
600067.SH,20260710,41,1278962,72290,1206672,0,-1134382,0,-1138246,0,0,0,72290,1206672,0,2.76,2.76,297,297,0,0,297,0,295,2,0,33,264,70358,1208604,-0.003610108303249181
600067.SH,20260710,42,1735011,1090000,645011,1939,443050,1939,589882,0,1939,0,1088061,645011,0,2.76,2.75,390,390,0,0,381,9,375,6,9,229,161,1163416,571595,-0.0036231884057970243
600067.SH,20260710,43,895529,111504,784025,0,-672521,0,-672521,0,0,0,111504,784025,0,2.75,2.75,216,216,0,0,216,0,216,0,0,57,159,111504,784025,0
600067.SH,20260710,44,1337068,249976,1087092,0,-837116,0,-881116,0,0,0,249976,1087092,0,2.76,2.75,434,434,0,0,434,0,418,16,0,104,330,227976,1109092,0
600067.SH,20260710,45,412257,194975,217282,0,-22307.000000000007,0,-22307.000000000007,0,0,0,194975,217282,0,2.75,2.75,183,183,0,0,183,0,183,0,0,83,100,194975,217282,0
600067.SH,20260710,46,2199605,1150779,1048826,0,101953,0,393453,0,0,0,1150779,1048826,0,2.75,2.74,633,624,0,0,622,11,571,51,11,401,223,1292954,837351,-0.0036363636363635587
600067.SH,20260710,47,1355502,595375,760127,0,-164752,0,9598,0,0,0,595375,760127,0,2.74,2.75,337,337,0,0,337,0,335,2,0,168,169,682550,672952,0.003649635036496272
600110.SH,20260710,0,171320769.34,79579856.8,91740912.54,-5390410.879999999,-9596416.700000001,-5390410.879999999,17365274.1,-4040,24924766.119999997,30315177,53242204.76,62838621.46,0,13.44,13.57,14100,12856,0,1,12131,1969,9670,2461,1969,6719,6137,86276868.28,70852445.06,0.009672619047619107
600110.SH,20260710,1,162266570.2,92187270.19,70079300.00999999,13052234.2,21667413.339999996,13052234.2,3830176.16,0,34673817.519999996,21621583.32,63819291.35,42151878.010000005,0,13.57,13.82,12136,11693,0,7,9904,2232,7944,1960,2232,6482,5211,85595070.28,69774793.92,0.018422991893883568
600110.SH,20260710,2,94983155.08,43282008.66,51701146.42,7842245.859999999,-8486105.619999997,7842245.859999999,-6023039.0600000005,0,24318266,16476020.14,22851381.66,31337487.28,0,13.82,13.76,7457,6803,0,0,7068,389,5845,1223,389,3465,3338,46623057.94,40363996.14,-0.004341534008683104
600110.SH,20260710,3,89245470.22999999,47761315.83,41484154.4,6293259.6,279081.3699999992,6293259.6,3069414.17,0,23256992,16963732.4,24651913.6,24372832.23,0,13.76,13.76,6619,6240,0,0,6323,296,5338,985,296,3083,3157,48315667,38010903.230000004,0
600110.SH,20260710,4,115790707.82000001,80821692.46,34969015.36,25651203.16,20276973.94,25651203.16,17639769.779999997,-22376,34811698.16,9160495,46047744.300000004,25770770.36,0,13.75,13.97,8806,8350,0,0,7808,998,6913,895,998,5241,3109,76728604.1,34368241.44,0.015261627906976806
600110.SH,20260710,5,72309984.87,28673930.87,43636054,-11255130,-2900287.13,-11255130,-6013152.87,-18008,8877386,20132516,20199897.87,23100185,0,13.97,13.69,6115,5957,0,0,5959,156,5108,851,156,2478,3479,26912083,43607659.870000005,-0.020042949176807524
600110.SH,20260710,6,84458224,33358093,51100131,-5644261,-13015593,-5644261,-10128653,0,7745384,13389645,25153801,38169394,0,13.69,13.52,6914,6655,0,2,6646,268,5505,1141,268,2683,3972,33564415,48865558,-0.012417823228634035
600110.SH,20260710,7,77632032,31063748,46568284,-10772058,-5001952,-10772058,-5877274,0,4526446,15298504,26402565,31404517,0,13.51,13.55,6562,6204,0,0,6350,212,5444,906,212,2646,3558,29499427,44629500,0.0022189349112426877
600110.SH,20260710,8,68773992.42,25915676,42858316.42,-11174142,-6432590.42,-11174142,-10197430.42,-33900,2216609,13390751,23367021,29799611.42,0,13.56,13.43,6482,6411,0,5,6329,153,5460,869,153,2460,3951,22708085,44827617.42,-0.008856088560885681
600110.SH,20260710,9,39673131.58,16517005,23156126.58,-7896950,-267717.5800000001,-7896950,28856.419999999925,0,2673270,10570220,13080962,13348679.58,0,13.43,13.48,3971,3932,0,0,3890,81,3424,466,81,1890,2042,15801521,23700478.58,0.0037230081906180724
600110.SH,20260710,10,25606101.8,10355677,15250424.8,-5529998.8,-149751,-5529998.8,-1338299,0,879490,6409488.8,9083686,9233437,0,13.48,13.41,2906,2857,0,0,2901,5,2549,352,5,1084,1773,8987497,16179425.8,-0.005192878338278952
600110.SH,20260710,11,28484279.39,11710254.04,16774025.349999998,-2609401.19,-2427482.119999999,-2609401.19,-1274654.96,0,814290,3423691.19,10909408.04,13336890.16,0,13.41,13.43,2851,2810,0,0,2806,45,2456,350,45,1419,1391,12167043.620000001,16065964.77,0.0014914243102162248
600110.SH,20260710,12,52286031.519999996,15100365.52,37185666,-7357442.8,-15259343.68,-7357442.8,-11788429.68,-1340,546579.2,7904022,14288043.32,29547387,0,13.43,13.31,5123,5078,0,0,4905,218,4455,450,218,1787,3291,16387356.52,35684630,-0.008935219657483189
600110.SH,20260710,13,27723562,10983061,16740501,-3091825,-2980043,-3091825,-1260441,0,1747417,4839242,9078430,12058473,0,13.31,13.34,3248,3189,0,0,3054,194,2696,358,194,1505,1684,11597940,15833560,0.002253944402704685
