stock_code,transaction_date,window_id,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,noise_ratio,explain_ratio,capital_anchor_error,closure_error
605196.SH,20260710,21,0.002078,-0.0026,0.001135,0.000608,0.001997,0.000028,0.000053,0.000081,0.497922,0.502078,0.330753,3.47e-18
605196.SH,20260710,22,-0.002135,0.001159,-0.000714,-0.000342,-0.002906,0.000771,0,0.000771,0.168318,0.831682,0.69417,3.47e-18
605196.SH,20260710,23,-0.002146,-0.001595,0.000476,0.000006,-0.000292,-0.001854,-0,-0.001854,0.001945,0.998055,0.253088,3.47e-18
605196.SH,20260710,24,0.005904,-0.002279,0.000179,0.001508,0.001633,0.004271,0,0.004271,0.283917,0.716083,0.223387,3.47e-18
605196.SH,20260710,25,0.00248,0.004475,-0.001248,-0.000422,-0.007751,0.010143,0.000088,0.01023,0.079852,0.920148,0.042717,3.47e-18
605196.SH,20260710,26,-0.003281,0.00349,0.000004,0.000191,-0.002538,-0.000743,-0,-0.000743,0.472492,0.527508,0.522514,3.47e-18
605196.SH,20260710,27,-0.000732,0.000379,0.000707,0.000051,-0.001371,0.000639,0,0.000639,0.125065,0.874935,0.268659,3.47e-18
605196.SH,20260710,28,-0.002302,0.000308,0,-0.001238,-0.001792,-0.000511,-0,-0.000511,0.383156,0.616844,0.021889,3.47e-18
605196.SH,20260710,29,-0.000268,-0.002883,0.000523,0.002222,-0.000428,0.00016,0,0.00016,5.482424,0,0.52972,3.47e-18
605196.SH,20260710,30,0.003797,0.000827,-0.000405,0.000647,-0.000424,0.004221,0,0.004221,0.132996,0.867004,0.775076,3.47e-18
605196.SH,20260710,31,-0.006645,0.003731,-0.000753,-0.000368,-0.007686,0.001041,0,0.001041,0.091178,0.908822,0.1101,3.47e-18
605196.SH,20260710,32,0.000007,-0.00301,0.001267,0.00052,-0.000762,0.000769,0,0.000769,0.427917,0.572083,0.007319,3.47e-18
605196.SH,20260710,33,-0.000334,-0.000591,-0.0004,-0.000298,-0.000145,-0.000189,-0,-0.000189,0.183387,0.816613,0.242085,3.47e-18
605196.SH,20260710,34,0.003967,-0.001285,0.000057,0.000512,0.00371,0.000257,0,0.000257,0.157365,0.842635,0.618153,3.47e-18
605196.SH,20260710,35,0.002356,0.002532,-0.000685,0.000253,0.000898,0.001457,0,0.001457,0.056679,0.943321,0.542187,3.47e-18
605196.SH,20260710,36,-0.007408,0.003246,-0.000169,-0.000105,-0.007157,-0.000251,-0,-0.000251,0.023624,0.976376,0.169508,3.47e-18
605196.SH,20260710,37,-0.003705,-0.003159,0.00124,-0.000047,-0.004926,0.001221,0,0.001221,0.008264,0.991736,0.018328,3.47e-18
605196.SH,20260710,38,-0.000828,-0.003994,0.000172,0.00017,-0.002735,0.000913,0.000994,0.001907,0.037985,0.962015,0.288889,3.47e-18
605196.SH,20260710,39,0.007919,-0.003053,-0.000165,0.000209,0.001853,0.006066,0,0.006066,0.042491,0.957509,0.530146,3.47e-18
605196.SH,20260710,40,-0.00331,0.003543,-0.001294,0.000246,-0.002728,-0.000457,-0.000124,-0.000582,0.302345,0.697655,0.309056,3.47e-18
605196.SH,20260710,41,-0.00055,-0.000447,0.000786,-0.003864,-0.000681,0.000131,0,0.000131,0.948159,0.051841,0.778165,3.47e-18
605196.SH,20260710,42,0.00406,-0.004786,0.000448,0.000687,-0.000527,0.000821,0.003766,0.004587,1.679755,0,0.097783,3.47e-18
605196.SH,20260710,43,-0.000631,0.00063,-0.000615,0.000207,-0.001214,0.000583,0,0.000583,0.507311,0.492689,0.233899,3.47e-18
605196.SH,20260710,44,-0.003626,-0.000183,0.000112,-0.000395,-0.003583,-0.000042,-0,-0.000042,0.096653,0.903347,0.67911,3.47e-18
605196.SH,20260710,45,0.002814,-0.003063,0.000505,0.000155,0.004066,-0.001252,-0,-0.001252,0.376735,0.623265,0.009605,3.47e-18
605196.SH,20260710,46,0.00042,0.000365,-0.000618,-0.000168,0.000748,-0.000328,-0,-0.000328,16770.558623,0,0.221042,3.47e-18
605196.SH,20260710,47,-0.001102,-0.000084,0.000056,-0.000103,-0.000517,-0.000483,-0.000103,-0.000585,0.08324,0.91676,0.464133,3.47e-18
605305.SH,20260710,0,0,0,-0,0.01359,-0,0,0,0,1,0,0,1.73e-18
605305.SH,20260710,1,-0.017606,0.003754,-0,-0.000003,-0.005447,-0.012159,-0,-0.012159,0.000239,0.999761,0.171106,1.73e-18
605305.SH,20260710,2,-0.00852,0.003098,0.001112,0.000004,0.001962,-0.009187,-0.001295,-0.010482,0.000907,0.999093,0.20855,1.73e-18
605305.SH,20260710,3,-0.001477,0.000965,-0.000387,-0.000012,0.001081,-0.002221,-0.000337,-0.002558,0.012971,0.987029,0.40538,1.73e-18
605305.SH,20260710,4,0.001743,0.000198,-0.000138,0.000019,0.001541,0.000202,0,0.000202,0.010259,0.989741,0.053651,1.73e-18
605305.SH,20260710,5,-0.004458,-0.000399,-0.000111,-0.000035,-0.004289,-0.000169,-0,-0.000169,0.006978,0.993022,0.770621,1.73e-18
605305.SH,20260710,6,0.0073,0.001102,0.000276,0.000005,-0.001741,0.009041,0,0.009041,0.000577,0.999423,0.038054,1.73e-18
605305.SH,20260710,7,0.000491,-0.001941,-0.000554,0.000419,0.000034,0.000188,0.000269,0.000456,0.263905,0.736095,0.052346,1.73e-18
605305.SH,20260710,8,0.000229,0.000564,0.000423,-0.000309,0.000069,0.00016,0,0.00016,0.340189,0.659811,0.17229,1.73e-18
605305.SH,20260710,9,-0.001203,-0.000358,-0.000105,0.000078,0.000506,-0.001709,-0,-0.001709,0.049455,0.950545,0.686217,1.73e-18
605305.SH,20260710,10,-0.003145,0.000395,0.000107,-0.000309,-0.003228,0.000002,0.000081,0.000083,0.104676,0.895324,0.535806,1.73e-18
605305.SH,20260710,11,-0.00126,0.000508,0.00006,-0.000902,0.00023,-0.000273,-0.001217,-0.00149,0.565644,0.434356,0.124757,1.73e-18
605305.SH,20260710,12,0.001044,-0.000093,-0.000061,0.000251,0.005584,-0.003382,-0.001158,-0.00454,0.220005,0.779995,0.250644,1.73e-18
605305.SH,20260710,13,0.004535,-0.000131,-0.000126,0.00005,0.004837,-0.000302,-0,-0.000302,0.011661,0.988339,0.733912,1.73e-18
605305.SH,20260710,14,0.002146,-0.000948,-0.00015,-0.001049,-0.00003,0.002014,0.000163,0.002176,104868.650325,0,0.07779,1.73e-18
605305.SH,20260710,15,0.013749,-0.000524,0.000207,0.001994,-0.00012,0.008959,0.004911,0.013869,0.129277,0.870723,0.570222,1.73e-18
605305.SH,20260710,16,0.000763,-0.002475,-0.000747,-0.000669,-0.01961,0.009823,0.010551,0.020374,0.213953,0.786047,0.458504,1.73e-18
605305.SH,20260710,17,-0.001677,0.00037,0.000905,0.000178,-0.001414,-0.000263,-0,-0.000263,0.794294,0.205706,0.215076,1.73e-18
605305.SH,20260710,18,-0.004986,0.00014,-0.000143,-0.000391,-0.005978,0.000992,0,0.000992,0.072587,0.927413,0.312145,1.73e-18
605305.SH,20260710,19,-0.005382,0.001018,0.000256,0.000051,-0.002026,-0.001456,-0.0019,-0.003356,0.012562,0.987438,0.15552,1.73e-18
605305.SH,20260710,20,-0.00393,0.000941,-0.000066,-0.000112,0.001356,-0.005286,-0,-0.005286,0.035377,0.964623,0.348627,1.73e-18
605305.SH,20260710,21,0.001514,0.000659,-0.000045,0.000142,0.008947,-0.007433,-0,-0.007433,0.062626,0.937374,0.234477,1.73e-18
605305.SH,20260710,22,-0.001018,-0.000442,-0.000277,0.000151,0.000954,-0.001971,-0,-0.001971,0.095272,0.904728,0.236872,1.73e-18
