stock_code,transaction_date,window_id,small_passive_buy_amount,active_inferred_count,order_age_missing_count,order_age_fifo_count,Q_rule_t,active_sell_amount,active_buy_amount,active_sell_count,window_trade_count,signal_deal_sell_amount,small_passive_sell_amount,signal_deal_buy_amount,pi_max_price_impact_pct,R_seed_t,window_close_price,order_age_recovered_count,deal_amount,active_buy_count,signed_mix_qr_amount,large_active_buy_amount,side_fallback_count,window_open_price,order_age_unresolved_count,order_age_direct_count,passive_retail_amount,unknown_side_amount,large_active_sell_amount,passive_quant_amount,signed_large_active_amount,active_non_large_amount,CH_rule_t
000002.SZ,20260709,4,2452988,1287,0,0,-7071405,8870393,1798988,1081,1287,8216393,8216393,2452988,0,0,3,1287,10669381,206,-5763405,0,0,3.01,0,1287,0,0,0,0,0,-7071405,0
000002.SZ,20260709,5,12703002,1359,0,0,4200010,5512247,9811917,614,1359,2521502,2521502,12802662,0.0033333333333332624,0,3.01,1359,15324164,745,10181500,99660,0,3.01,0,1359,0,0,0,0,99660,4200010,99660
000002.SZ,20260709,6,608140,939,0,0,-5994807,6602947,608140,781,939,6602947,6602947,608140,-0.003322259136212554,0,3,939,7211087,158,-5994807,0,0,3.02,0,939,0,0,0,0,0,-5994807,0
000002.SZ,20260709,7,5352340,1474,0,0,3202869,2242480,5505749,336,1474,2335489,2335489,5412740,0.0033333333333332624,0,3.01,1474,7748229,1138,3016851,60400,0,3.01,0,1474,0,0,0,0,60400,3202869,60400
000002.SZ,20260709,8,1401880,659,0,0,-1647048,3020333,1378402,280,663,3001972,3001972,1401880,-0.003322259136212554,0,3,663,4403852,379,-1600092,0,0,3.01,0,663,0,0,0,-5117,0,-1641931,0
000002.SZ,20260709,9,298592,355,0,0,-1919308,2982900,298592,293,355,2982900,2217900,298592,0,0,3,355,3281492,62,-1919308,0,0,3.01,0,355,0,0,765000,0,-765000,-1919308,-765000
000002.SZ,20260709,10,1910131,720,0,0,456595,1434636,1891231,201,720,1415736,1415736,1910131,-0.0033333333333332624,0,2.99,720,3325867,519,494395,0,0,3,0,720,0,0,0,0,0,456595,0
000002.SZ,20260709,11,563377,981,0,0,-6786180,7349256,562480,856,981,7348359,7347763,563377,-0.0033444816053512477,0,2.98,981,7911736,125,-6784386,0,0,2.99,0,981,0,0,596,0,-596,-6786180,-596
000002.SZ,20260709,12,252655,232,0,0,-992091,1244746,252655,157,232,1244746,1244746,252655,0.0033557046979866547,0,2.99,232,1497401,75,-992091,0,0,2.98,0,232,0,0,0,0,0,-992091,0
000002.SZ,20260709,13,327704,378,0,0,-2507468,2835172,327704,311,378,2835172,2835172,327704,0,0,2.99,378,3162876,67,-2507468,0,0,2.99,0,378,0,0,0,0,0,-2507468,0
000002.SZ,20260709,14,1045200,558,0,0,-2967729,4011414,1036260,414,558,4002474,3995049,1045200,-0.0033444816053512477,0,2.98,558,5047674,144,-2949849,0,0,2.99,0,558,0,0,7425.000000000001,0,-7425.000000000001,-2967729,-7425.000000000001
000002.SZ,20260709,15,852280,217,0,0,388069,464211,852280,76,217,464211,464211,852280,0,0,2.98,217,1316491,141,388069,0,0,2.98,0,217,0,0,0,0,0,388069,0
000002.SZ,20260709,16,606430,197,0,0,-452969,2116719,606430,84,197,2116719,1059399,606430,-0.0033557046979865056,0,2.97,197,2723149,113,-452969,0,0,2.97,0,197,0,0,1057320,0,-1057320,-452969,-1057320
000002.SZ,20260709,17,591642,848,0,0,7192733.3,1803979,11150259.3,211,848,12362596.3,10209049.3,591642,-0.0033670033670034445,0,2.96,848,12954238.3,637,-9617407.3,2153547,0,2.97,0,848,0,0,0,0,2153547,7192733.3,2153547
000002.SZ,20260709,18,1563111,301,0,0,275807,1793168,1563111,109,301,1793168,1287304,1563111,0.0033783783783784566,0,2.97,301,3356279,192,275807,0,0,2.97,0,301,0,0,505864,0,-505864,275807,-505864
000002.SZ,20260709,19,1578852,310,0,0,560316,1018536,1578852,83,310,1018536,1018536,1578852,0,0,2.97,310,2597388,227,560316,0,0,2.97,0,310,0,0,0,0,0,560316,0
000002.SZ,20260709,20,1042767,250,0,0,-562145,1604912,1042767,151,250,1604912,1604912,1042767,0,0,2.97,250,2647679,99,-562145,0,0,2.96,0,250,0,0,0,0,0,-562145,0
000002.SZ,20260709,21,1158003,241,0,0,536699,621304,1158003,69,241,621304,621304,1158003,0,0,2.97,241,1779307,172,536699,0,0,2.97,0,241,0,0,0,0,0,536699,0
000002.SZ,20260709,22,882981,195,0,0,-41131,924112,882981,92,195,924112,924112,882981,0,0,2.97,195,1807093,103,-41131,0,0,2.97,0,195,0,0,0,0,0,-41131,0
000002.SZ,20260709,23,2011878,431,0,0,822550,1189328,2011878,164,431,1189328,1189328,2011878,0,0,2.97,431,3201206,267,822550,0,0,2.97,0,431,0,0,0,0,0,822550,0
000002.SZ,20260709,24,2566674,686,0,0,911442,1655232,2566674,197,686,1655232,1655232,2566674,-0.0033670033670034445,0,2.96,686,4221906,489,911442,0,0,2.97,0,686,0,0,0,0,0,911442,0
000002.SZ,20260709,25,4719668.58,1112,0,0,3638861.79,1388478,5032107.79,261,1112,1696149.21,1696149.21,4724436.58,0.0033783783783784566,0,2.97,1112,6420585.79,851,3023519.37,4768,0,2.96,0,1112,0,0,0,0,4768,3638861.79,4768
000002.SZ,20260709,26,1162042,337,0,0,29105.799999999977,1248766.2,1277872,176,337,1364596.2,1364596.2,1162042,0.003367003367003295,0,2.98,337,2526638.2,161,-202554.2,0,0,2.97,0,337,0,0,0,0,0,29105.799999999977,0
000002.SZ,20260709,27,1480631,404,0,0,-2379193.6,4887622.800000001,1312232,217,404,4719223.800000001,3523026.5999999996,1480631,-0.0033557046979865056,0,2.97,404,6199854.800000001,187,-2042395.5999999999,0,0,2.98,0,404,0,0,1196197.2000000002,0,-1196197.2000000002,-2379193.6,-1196197.2000000002
000002.SZ,20260709,28,694213,1626,0,0,-9527022,10873027,689181,1476,1626,10867995,10211171,694213,-0.0033670033670034445,0,2.96,1626,11562208,150,-9516958,0,0,2.97,0,1626,0,0,656824,0,-656824,-9527022,-656824
000002.SZ,20260709,29,5824849,1021,0,0,4437618,1429263,5866881,108,1021,1471295,1471295,5824849,0.0033783783783784566,0,2.97,1021,7296144,913,4353554,0,0,2.96,0,1021,0,0,0,0,0,4437618,0
