stock_code,phi_rms_7d,beta_ch_rms_7d,beta_q_rms_7d,beta_retail_rms_7d,beta_mix_rms_7d,theta_rms_7d
600936.SH,0.37622267908906143,0.003579402440666355,0.002156802462270429,0.0,0.002156802462270429,0.2345005196593778
601009.SH,0.13850388993301374,0.001654590357179788,0.0012090612273597354,0.0,0.0012090612273597354,0.05045360946843305
601117.SH,0.18314072223533479,0.0027214621422226187,0.0013233174364238548,0.0,0.0013233174364238548,0.1358197713384595
601186.SH,0.23526123123578202,0.002651755572533811,0.0010254810973623324,0.0,0.0010254810973623324,0.12394039480293503
601328.SH,0.2837210679770963,0.0024676163597225267,0.0009193424125815041,0.0,0.0009193424125815041,0.08786541662309326
601398.SH,0.10310677203037993,0.0011126543577567427,0.0017719873383618785,0.0,0.0017719873383618785,0.12865651660874916
601872.SH,0.3370171775598504,0.002195646916897286,0.0014821667456340487,0.0,0.0014821667456340487,0.14736860834643778
601890.SH,0.20597521202319585,0.0059898094438721895,0.0017568550205064458,0.0,0.0017568550205064458,0.10963798059418209
601939.SH,0.19363327158833307,0.0016697373707988121,0.001273491986393995,0.0,0.001273491986393995,0.2342306570269407
601991.SH,0.434754349374621,0.008784967870954712,0.003069015662661099,0.0,0.003069015662661099,0.15283793099146992
601999.SH,0.9231619144709377,0.010601568925159765,0.002124923339660931,0.0,0.002124923339660931,0.43914834761822
603005.SH,0.11030815668704588,0.0024762740644338017,0.00262133995801611,0.0,0.00262133995801611,0.1611007239601776
603007.SH,0.2372206610378866,0.002928096582113375,0.0012591922509223863,0.0,0.0012591922509223863,0.24563596923292388
603008.SH,0.36126700931301187,0.005534679423014327,0.002347053489137783,0.0,0.002347053489137783,0.5416042464600261
603028.SH,0.5567395661778655,0.00386417500065558,0.002052244893545017,0.0,0.002052244893545017,0.2650188296600185
603045.SH,0.8548452115987792,0.005889534573624951,0.008562452779535752,0.0,0.008562452779535752,0.16045507268377723
603075.SH,0.17063717816020493,0.003478540354668838,0.002140102345325204,0.0,0.002140102345325204,0.2724108720414804
603082.SH,0.26462868048597765,0.0024255192211390868,0.002650676548899108,0.0,0.002650676548899108,0.23385914591646104
603095.SH,0.2775223726496929,0.0016802546134573055,0.0018014385316997294,0.0,0.0018014385316997294,0.1881699022064122
603118.SH,0.5612895888800997,0.0036400748191313895,0.006260900164386688,0.0,0.006260900164386688,0.3042110430961542
603248.SH,0.1370772979858573,0.00144581535416495,0.0009440914808297694,0.0,0.0009440914808297694,0.18397160173685106
603289.SH,0.253660846396239,0.0027288989087534193,0.0014846689450914966,0.0,0.0014846689450914966,0.12226466850995643
603316.SH,0.40923941106285233,0.004927036428776035,0.004814095199537027,0.0,0.004814095199537027,0.2588693328600438
603318.SH,0.3173711125375169,0.0021266274925437283,0.0020297527356187344,0.0,0.0020297527356187344,0.15467439183744688
603324.SH,0.31999888615712935,0.0018938834535202898,0.0018341902235159981,0.0,0.0018341902235159981,0.22022885965118474
603330.SH,0.37939667798378096,0.002116819271962173,0.0008540868292211032,0.0,0.0008540868292211032,0.1751387665064988
603331.SH,0.5008123818197201,0.00498720050950628,0.0015129524812682684,0.0,0.0015129524812682684,0.3884654804479807
603344.SH,0.2496433593772032,0.0031233753079957915,0.0016138508523752693,0.0,0.0016138508523752693,0.26502154252919546
603359.SH,0.5735277694405512,0.010872951925945045,0.003431530039991575,0.0,0.003431530039991575,0.18836451808977336
603399.SH,0.6003399160137328,0.00489780513986405,0.010102672491137183,0.0,0.010102672491137183,0.23278789520912416
603407.SH,0.8414113667733211,0.00991004483530745,0.0076183531901067745,0.0,0.0076183531901067745,0.1546300797892705
603435.SH,0.11642709198116169,0.006502445932170673,0.00861892985686133,0.0,0.00861892985686133,0.14984743167306136
603459.SH,0.20016365576910555,0.004587125555104191,0.0028914243835181474,0.0,0.0028914243835181474,0.3016090598002734
603538.SH,0.2977480143766175,0.00676366542875905,0.0020076423059982355,0.0,0.0020076423059982355,0.4011359332605923
