trade_date,symbol,window_id,window_start,window_end,open_price,close_price,vwap,deal_amount,data_P,data_P_source
20260709,600076.SH,22,11:20,11:25,3.12,3.13,,1635473.0,0.003205,trade_window
20260709,600076.SH,23,11:25,11:30,3.12,3.14,,805174.0,0.003195,trade_window
20260709,600076.SH,24,13:00,13:05,3.14,3.14,,1877360.0,0.0,trade_window
20260709,600076.SH,25,13:05,13:10,3.14,3.12,,3542602.0,-0.006369,trade_window
20260709,600076.SH,26,13:10,13:15,3.14,3.14,,1449523.0,0.00641,trade_window
20260709,600076.SH,27,13:15,13:20,3.14,3.13,,800591.0,-0.003185,trade_window
20260709,600076.SH,28,13:20,13:25,3.14,3.13,,766647.0,0.0,trade_window
20260709,600076.SH,29,13:25,13:30,3.13,3.16,,967504.0,0.009585,trade_window
20260709,600076.SH,30,13:30,13:35,3.16,3.19,,1919133.0,0.009494,trade_window
20260709,600076.SH,31,13:35,13:40,3.19,3.19,,2154117.0,0.0,trade_window
20260709,600076.SH,32,13:40,13:45,3.2,3.21,,2795959.0,0.00627,trade_window
20260709,600076.SH,33,13:45,13:50,3.21,3.21,,1921094.0,0.0,trade_window
20260709,600076.SH,34,13:50,13:55,3.21,3.21,,1826522.0,0.0,trade_window
20260709,600076.SH,35,13:55,14:00,3.21,3.24,,4404581.0,0.009346,trade_window
20260709,600076.SH,36,14:00,14:05,3.24,3.24,,3901108.0,0.0,trade_window
20260709,600076.SH,37,14:05,14:10,3.24,3.23,,3704879.0,-0.003086,trade_window
20260709,600076.SH,38,14:10,14:15,3.23,3.22,,2613356.0,-0.003096,trade_window
20260709,600076.SH,39,14:15,14:20,3.23,3.2,,2879251.0,-0.006211,trade_window
20260709,600076.SH,40,14:20,14:25,3.2,3.21,,1204843.2,0.003125,trade_window
20260709,600076.SH,41,14:25,14:30,3.22,3.22,,474496.0,0.003115,trade_window
20260709,600076.SH,42,14:30,14:35,3.22,3.21,,1424850.0,-0.003106,trade_window
20260709,600076.SH,43,14:35,14:40,3.22,3.22,,1325826.0,0.003115,trade_window
20260709,600076.SH,44,14:40,14:45,3.22,3.23,,2647272.0,0.003106,trade_window
20260709,600076.SH,45,14:45,14:50,3.23,3.21,,4819708.0,-0.006192,trade_window
20260709,600076.SH,46,14:50,14:55,3.21,3.23,,2340716.0,0.006231,trade_window
20260709,600076.SH,47,14:55,15:00,3.23,3.22,,4327695.0,-0.003096,trade_window
20260709,600127.SH,0,09:30,09:35,5.36,5.35,,2512146.0,-0.001866,trade_window
20260709,600127.SH,1,09:35,09:40,5.35,5.32,,5305097.0,-0.005607,trade_window
20260709,600127.SH,2,09:40,09:45,5.32,5.34,,1058059.0,0.003759,trade_window
20260709,600127.SH,3,09:45,09:50,5.34,5.36,,626208.0,0.003745,trade_window
20260709,600127.SH,4,09:50,09:55,5.36,5.35,,806214.0,-0.001866,trade_window
20260709,600127.SH,5,09:55,10:00,5.36,5.38,,676580.0,0.005607,trade_window
20260709,600127.SH,6,10:00,10:05,5.38,5.34,,980930.2,-0.007435,trade_window
20260709,600127.SH,7,10:05,10:10,5.34,5.35,,864736.0,0.001873,trade_window
20260709,600127.SH,8,10:10,10:15,5.35,5.33,,991193.0,-0.003738,trade_window
20260709,600127.SH,9,10:15,10:20,5.33,5.32,,900009.0,-0.001876,trade_window
20260709,600127.SH,10,10:20,10:25,5.32,5.31,,949464.0,-0.00188,trade_window
20260709,600127.SH,11,10:25,10:30,5.32,5.31,,1155763.0,0.0,trade_window
20260709,600127.SH,12,10:30,10:35,5.31,5.29,,2483437.0,-0.003766,trade_window
20260709,600127.SH,13,10:35,10:40,5.29,5.3,,1522580.0,0.00189,trade_window
20260709,600127.SH,14,10:40,10:45,5.29,5.29,,1161375.0,-0.001887,trade_window
20260709,600127.SH,15,10:45,10:50,5.28,5.29,,257351.0,0.0,trade_window
20260709,600127.SH,16,10:50,10:55,5.28,5.31,,979835.0,0.003781,trade_window
20260709,600127.SH,17,10:55,11:00,5.31,5.28,,558956.0,-0.00565,trade_window
20260709,600127.SH,18,11:00,11:05,5.29,5.29,,543863.0,0.001894,trade_window
20260709,600127.SH,19,11:05,11:10,5.29,5.29,,318779.0,0.0,trade_window
20260709,600127.SH,20,11:10,11:15,5.28,5.3,,751908.0,0.00189,trade_window
20260709,600127.SH,21,11:15,11:20,5.3,5.29,,247253.0,-0.001887,trade_window
20260709,600127.SH,22,11:20,11:25,5.29,5.29,,337913.0,0.0,trade_window
20260709,600127.SH,23,11:25,11:30,5.3,5.29,,388933.0,0.0,trade_window
20260709,600127.SH,24,13:00,13:05,5.3,5.29,,221447.0,0.0,trade_window
20260709,600127.SH,25,13:05,13:10,5.3,5.31,,182327.0,0.003781,trade_window
20260709,600127.SH,26,13:10,13:15,5.31,5.3,,268749.0,-0.001883,trade_window
20260709,600127.SH,27,13:15,13:20,5.3,5.3,,159460.0,0.0,trade_window
20260709,600127.SH,28,13:20,13:25,5.29,5.3,,374625.0,0.0,trade_window
20260709,600127.SH,29,13:25,13:30,5.3,5.29,,586595.6,-0.001887,trade_window
20260709,600127.SH,30,13:30,13:35,5.29,5.28,,531106.4,-0.00189,trade_window
20260709,600127.SH,31,13:35,13:40,5.28,5.29,,354930.0,0.001894,trade_window
20260709,600127.SH,32,13:40,13:45,5.3,5.3,,446149.0,0.00189,trade_window
20260709,600127.SH,33,13:45,13:50,5.3,5.3,,1509467.0,0.0,trade_window
20260709,600127.SH,34,13:50,13:55,5.31,5.31,,226596.0,0.001887,trade_window
20260709,600127.SH,35,13:55,14:00,5.3,5.32,,303074.0,0.001883,trade_window
20260709,600127.SH,36,14:00,14:05,5.32,5.32,,546578.0,0.0,trade_window
20260709,600127.SH,37,14:05,14:10,5.32,5.31,,163385.0,-0.00188,trade_window
20260709,600127.SH,38,14:10,14:15,5.31,5.32,,322874.0,0.001883,trade_window
20260709,600127.SH,39,14:15,14:20,5.32,5.32,,1124390.0,0.0,trade_window
20260709,600127.SH,40,14:20,14:25,5.31,5.32,,1135279.0,0.0,trade_window
20260709,600127.SH,41,14:25,14:30,5.33,5.32,,311225.0,0.0,trade_window
20260709,600127.SH,42,14:30,14:35,5.32,5.33,,954115.0,0.00188,trade_window
20260709,600127.SH,43,14:35,14:40,5.32,5.33,,635249.0,0.0,trade_window
20260709,600127.SH,44,14:40,14:45,5.32,5.33,,844496.0,0.0,trade_window
20260709,600127.SH,45,14:45,14:50,5.33,5.34,,1625671.0,0.001876,trade_window
20260709,600127.SH,46,14:50,14:55,5.35,5.34,,2291301.0,0.0,trade_window
20260709,600127.SH,47,14:55,15:00,5.34,5.34,,904564.0,0.0,trade_window
20260709,600152.SH,0,09:30,09:35,8.47,8.44,,12700290.0,-0.003542,trade_window
20260709,600152.SH,1,09:35,09:40,8.44,8.58,,9463807.0,0.016588,trade_window
20260709,600152.SH,2,09:40,09:45,8.58,8.53,,8788900.0,-0.005828,trade_window
20260709,600152.SH,3,09:45,09:50,8.55,8.43,,7393096.0,-0.011723,trade_window
20260709,600152.SH,4,09:50,09:55,8.43,8.43,,7415741.0,0.0,trade_window
20260709,600152.SH,5,09:55,10:00,8.43,8.38,,3158984.0,-0.005931,trade_window
20260709,600152.SH,6,10:00,10:05,8.37,8.35,,3901207.0,-0.00358,trade_window
20260709,600152.SH,7,10:05,10:10,8.36,8.37,,4369117.0,0.002395,trade_window
20260709,600152.SH,8,10:10,10:15,8.37,8.42,,3625452.0,0.005974,trade_window
20260709,600152.SH,9,10:15,10:20,8.42,8.4,,3193886.0,-0.002375,trade_window
20260709,600152.SH,10,10:20,10:25,8.41,8.38,,3430749.0,-0.002381,trade_window
20260709,600152.SH,11,10:25,10:30,8.38,8.31,,3474590.0,-0.008353,trade_window
20260709,600152.SH,12,10:30,10:35,8.31,8.26,,4114371.0,-0.006017,trade_window
20260709,600152.SH,13,10:35,10:40,8.27,8.23,,3654456.0,-0.003632,trade_window
20260709,600152.SH,14,10:40,10:45,8.24,8.21,,4220524.0,-0.00243,trade_window
20260709,600152.SH,15,10:45,10:50,8.21,8.2,,4995535.0,-0.001218,trade_window
20260709,600152.SH,16,10:50,10:55,8.2,8.2,,2954167.0,0.0,trade_window
20260709,600152.SH,17,10:55,11:00,8.2,8.18,,3543024.0,-0.002439,trade_window
20260709,600152.SH,18,11:00,11:05,8.18,8.16,,3799876.0,-0.002445,trade_window
20260709,600152.SH,19,11:05,11:10,8.17,8.18,,2835525.0,0.002451,trade_window
20260709,600152.SH,20,11:10,11:15,8.18,8.13,,2902490.0,-0.006112,trade_window
20260709,600152.SH,21,11:15,11:20,8.14,8.12,,3040060.0,-0.00123,trade_window
20260709,600152.SH,22,11:20,11:25,8.12,8.15,,2992808.0,0.003695,trade_window
20260709,600152.SH,23,11:25,11:30,8.15,8.19,,1395250.0,0.004908,trade_window
20260709,600152.SH,24,13:00,13:05,8.19,8.2,,3739059.0,0.001221,trade_window
20260709,600152.SH,25,13:05,13:10,8.19,8.24,,2777587.0,0.004878,trade_window
20260709,600152.SH,26,13:10,13:15,8.26,8.29,,2967373.0,0.006068,trade_window
20260709,600152.SH,27,13:15,13:20,8.29,8.27,,2853568.0,-0.002413,trade_window
20260709,600152.SH,28,13:20,13:25,8.27,8.26,,2365003.0,-0.001209,trade_window
20260709,600152.SH,29,13:25,13:30,8.26,8.32,,4294704.0,0.007264,trade_window
