stock_code,transaction_date,window_id,deal_amount,signal_deal_buy_amount,signal_deal_sell_amount,signed_large_active_amount,signed_mix_qr_amount,CH_rule_t,Q_rule_t,R_seed_t,large_active_buy_amount,large_active_sell_amount,small_passive_buy_amount,small_passive_sell_amount,unknown_side_amount,window_open_price,window_close_price,window_trade_count,active_inferred_count,side_fallback_count,low_fallback_count,order_age_recovered_count,order_age_missing_count,order_age_direct_count,order_age_fifo_count,order_age_unresolved_count,active_buy_count,active_sell_count,active_buy_amount,active_sell_amount,pi_max_price_impact_pct
000001.SZ,20260709,39,18193130,5937644,12255486,-2598140.0000000005,-3719702,-2598140.0000000005,-4000298,0,64976,2663116.0000000005,5872668,9592370,0,10.47,10.47,1540,1540,0,,1540,0,1540,0,0,868,672,5797346,12395784,0
000001.SZ,20260709,40,18972257,10801583,8170674,-3200660,437425,-3200660,464647,0,19912,3220572,8084599,7647174,0,10.47,10.47,1844,1844,0,,1844,0,1839,5,0,1108,736,8118122,10854135,0
000001.SZ,20260709,41,15498854,7402135,8096719,-639248,-55336.000000000015,-639248,-153754.00000000012,0,473696,1112944,6928439,6983775,0,10.47,10.47,1709,1709,0,,1709,0,1709,0,0,999,710,7352926,8145928,0
000001.SZ,20260709,42,19420299,10462453,8957846,-624327,2128934,-624327,4748804,0,175183,799510,10287270,8158336,0,10.47,10.49,3065,3065,0,,3065,0,3059,6,0,1768,1297,11772388,7647911,0.0019102196752626144
000001.SZ,20260709,43,15195437,6803148,8392289,-1046952,-542189,-1046952,-531699,0,0,1046952,6803148,7345337,0,10.49,10.5,2379,2346,0,,2379,0,2375,4,0,910,1436,6727620,8183538,0.0009532888465204754
000001.SZ,20260709,44,15577473,5210303,10367170,-1617461,-5337392,-1617461,-7519312,0,0,1617461,4311310,9648702,0,10.49,10.5,1885,1885,0,,1885,0,1870,15,0,407,1478,3220350,12357123,0
000001.SZ,20260709,45,18357486,7695450,10662036,0,-2966586,0,-2966586,0,0,0,7695450,10662036,0,10.5,10.5,2314,2314,0,,2314,0,2314,0,0,1090,1224,7695450,10662036,0
000001.SZ,20260709,46,28685867.72,12111299,16574568.72,-45255,-4418014.720000001,-45255,-117246.71999999997,0,735201,780456,11376098,15794112.72,0,10.5,10.49,2597,2444,0,,2597,0,2582,15,0,1231,1213,13908883,14036734.72,-0.0009523809523809321
000001.SZ,20260709,47,15205772.98,6864726,8341046.98,-145820.72,-1330500.2600000002,-145820.72,-9150230.260000002,0,149242,295062.72,6715484,8045984.260000001,0,10.5,10.49,1695,1695,0,,1695,0,1691,4,0,306,1389,2954861,12250911.98,0
000002.SZ,20260709,0,18987051.49,8639014.370000001,10348037.12,3487102.21,117757.45999999996,3487102.21,-5070368.12,0,3536974.21,49872,7758981.37,7641223.91,0,2.98,2.99,1474,1474,0,,1474,0,1474,0,0,709,765,8701892.79,10285158.7,0.0033557046979866547
