stock_code,transaction_date,mode,kf_converged,dominant_type,dominant_intention,hot_money_ratio,quant_ratio,retail_ratio,phi_tail,theta_tail,beta_ch_tail,beta_mix_tail,beta_q_tail,beta_retail_tail,c_p_tail,c_i_tail,c_d_tail,capital_ch_tail,capital_q_tail,capital_retail_tail,capital_anchor_error_tail,noise_ratio_tail,explain_ratio_tail,capital_identity_error,closure_error,warnings
603057.SH,20260710,baseline_4d,false,unknown,买入,0.25,0.729167,0.020833,0.263561,-0.312958,0.002286,-0.018082,-0.018082,0.0,0.010138,-0.000961,0.000848,-0.00072,0.010859,0.0,0.4378,0.037514,0.962486,0.00e+00,8.67e-19,KF did not converge
603060.SH,20260710,baseline_4d,false,unknown,卖出,0.125,0.833333,0.041667,1.786054,-1.232928,-0.002355,-0.009346,-0.009346,0.0,-0.008929,0.003384,4e-06,-0.007064,-0.001865,-0.0,0.791092,0.008529,0.991471,0.00e+00,7.81e-18,KF did not converge
603091.SH,20260710,baseline_4d,false,unknown,卖出,0.458333,0.5,0.041667,-0.042455,-0.147931,-0.001411,-0.00077,-0.00077,0.0,-0.001578,0.001021,1e-06,-0.000466,-0.001112,-0.0,0.295336,0.055444,0.944556,0.00e+00,8.67e-19,KF did not converge
603100.SH,20260710,baseline_4d,false,unknown,卖出,0.270833,0.6875,0.041667,0.024329,-0.013488,-0.003175,-0.003204,-0.003204,0.0,-0.001748,0.000156,-6.9e-05,-0.006212,0.004355,0.000109,0.1219,0.01838,0.98162,0.00e+00,1.73e-18,KF did not converge
603113.SH,20260710,baseline_4d,false,unknown,卖出,0.270833,0.729167,0.0,0.022243,-0.258874,-0.015778,0.005811,0.005811,0.0,-0.001596,-2.2e-05,0.001864,-0.0,-0.001596,-0.0,0.0,24627.13507,0.0,0.00e+00,1.73e-18,KF did not converge
603155.SH,20260710,baseline_4d,true,unknown,买入,0.166667,0.833333,0.0,-0.012652,0.02336,-0.008507,0.0,0.0,0.0,0.000658,-0.000151,0.0,0.000658,-0.0,-0.0,0.253655,50669.701778,0.0,0.00e+00,2.17e-18,Capital anchor consistency is weak
603236.SH,20260710,baseline_4d,true,游资,买入,0.5,0.479167,0.020833,2.413972,-1.321308,-0.002308,0.0003,0.0003,0.0,0.00024,-0.000108,-0.0,0.000838,-0.000598,-0.0,0.583659,13220.940608,0.0,0.00e+00,1.91e-17,
603315.SH,20260710,baseline_4d,false,unknown,卖出,0.25,0.666667,0.083333,-0.831385,0.221681,-0.010842,0.01507,0.01507,0.0,-0.005588,0.001225,-0.000663,2.3e-05,-0.005611,-0.0,0.016345,0.040168,0.959832,0.00e+00,1.73e-18,KF did not converge
603328.SH,20260710,baseline_4d,false,游资,卖出,0.5,0.5,0.0,0.054078,0.015317,0.003923,0.002496,0.002496,0.0,-0.00063,-0.000192,-1.4e-05,-0.000419,-0.000211,-0.0,0.564195,0.088465,0.911535,0.00e+00,1.73e-18,KF did not converge
603435.SH,20260710,baseline_4d,false,游资,卖出,0.479167,0.458333,0.0625,0.111178,0.038967,0.003357,0.000186,0.000186,0.0,-0.001537,-0.000192,-8.1e-05,-0.001425,-0.000112,-0.0,0.63249,0.041685,0.958315,0.00e+00,3.47e-18,KF did not converge
603459.SH,20260710,baseline_4d,false,游资,买入,0.583333,0.395833,0.020833,-0.286802,-0.152385,-0.004218,0.005501,0.005501,0.0,-0.005196,0.001213,0.000349,0.000584,-0.005234,-0.000547,0.845216,0.006228,0.993772,0.00e+00,3.47e-18,KF did not converge
603489.SH,20260710,baseline_4d,false,unknown,卖出,0.479167,0.5,0.020833,0.180778,-0.123033,-3e-05,0.001661,0.001661,0.0,-4.4e-05,-0.000493,0.000145,7e-05,-0.000114,-0.0,0.358924,0.000525,0.999475,0.00e+00,1.73e-18,KF did not converge | Capital anchor consistency is weak
603517.SH,20260710,baseline_4d,false,unknown,买入,0.1875,0.791667,0.020833,-0.294983,0.397351,0.011601,-0.000673,-0.000673,0.0,4.4e-05,-3.4e-05,-0.000788,0.0,4.4e-05,0.0,0.058983,0.214075,0.785925,0.00e+00,1.73e-18,KF did not converge
603578.SH,20260710,baseline_4d,true,unknown,卖出,0.104167,0.875,0.020833,0.517098,0.364771,-0.000445,0.000141,0.000141,0.0,-3.6e-05,5e-06,0.0,-0.0,-3.6e-05,-0.0,0.0,3102.9356,0.0,0.00e+00,3.47e-18,
603612.SH,20260710,baseline_4d,false,unknown,卖出,0.333333,0.645833,0.020833,-0.434371,-0.004609,-0.000684,0.000818,0.000818,0.0,-0.001497,0.00083,1.1e-05,4.9e-05,-0.001027,-0.000518,0.030722,0.050242,0.949758,0.00e+00,1.73e-18,KF did not converge
603683.SH,20260710,baseline_4d,false,unknown,买入,0.375,0.604167,0.020833,0.128852,0.085674,0.002991,-0.016639,-0.016639,0.0,0.026778,5.2e-05,-0.000231,-0.000588,0.027366,0.0,0.20987,0.00033,0.99967,0.00e+00,1.73e-18,KF did not converge
603686.SH,20260710,baseline_4d,false,unknown,买入,0.270833,0.708333,0.020833,-0.036115,0.247274,-0.000919,0.002315,0.002315,0.0,0.001934,-0.000451,-0.000193,0.001739,0.000195,0.0,0.825122,0.171843,0.828157,0.00e+00,1.73e-18,KF did not converge
603726.SH,20260710,baseline_4d,false,游资,卖出,0.666667,0.3125,0.020833,-0.394589,0.128503,0.008974,-0.006766,-0.006766,0.0,-0.003626,-0.000148,0.00039,-0.003929,0.000302,0.0,0.881572,0.009874,0.990126,0.00e+00,3.47e-18,KF did not converge | Capital anchor consistency is weak
603776.SH,20260710,baseline_4d,false,unknown,卖出,0.145833,0.833333,0.020833,-0.163768,-0.063626,0.007824,0.002844,0.002844,0.0,-0.00704,-9.3e-05,0.0,-0.003574,-0.003466,-0.0,0.390313,0.000645,0.999355,0.00e+00,8.67e-19,KF did not converge
603893.SH,20260710,baseline_4d,false,游资,卖出,0.5,0.458333,0.041667,-0.321242,0.019464,-0.003382,-0.000515,-0.000515,0.0,-0.001164,0.000823,2.7e-05,-0.000762,-0.000403,-0.0,0.587171,0.177133,0.822867,0.00e+00,3.47e-18,KF did not converge
603895.SH,20260710,baseline_4d,false,unknown,卖出,0.291667,0.666667,0.041667,-0.656839,0.201771,-0.005094,0.008898,0.008898,0.0,-0.001904,0.003852,-0.001668,0.014661,-0.016565,-0.0,0.469518,0.57937,0.42063,0.00e+00,2.93e-18,KF did not converge
603900.SH,20260710,baseline_4d,false,unknown,买入,0.3125,0.666667,0.020833,0.367785,-0.557831,-0.012648,0.000622,0.000622,0.0,0.002093,-0.000833,2e-06,0.00228,-0.000187,-0.0,0.924122,0.277972,0.722028,0.00e+00,2.60e-18,KF did not converge
605028.SH,20260710,baseline_4d,false,unknown,卖出,0.25,0.729167,0.020833,-0.226814,0.257341,0.004136,0.001695,0.001695,0.0,-0.001134,-0.000109,-0.000241,0.001183,-0.002069,-0.000248,0.337968,0.054725,0.945275,0.00e+00,1.73e-18,KF did not converge
605066.SH,20260710,baseline_4d,false,unknown,卖出,0.0625,0.895833,0.041667,-0.579276,0.789849,-0.000154,0.001081,0.001081,0.0,-0.000521,-0.00089,-2e-06,-0.0,-0.000521,-0.0,0.012483,0.09428,0.90572,0.00e+00,1.73e-18,KF did not converge
605155.SH,20260710,baseline_4d,false,unknown,买入,0.208333,0.708333,0.083333,-0.116456,-0.074922,0.000531,-0.000108,-0.000108,0.0,0.000166,0.000305,0.000364,-1.3e-05,0.000179,0.0,0.066766,0.029732,0.970268,0.00e+00,5.20e-18,KF did not converge
605196.SH,20260710,baseline_4d,false,游资,卖出,0.666667,0.3125,0.020833,0.70032,-0.137226,0.001159,-0.001185,-0.001185,0.0,-0.001102,-8.4e-05,5.6e-05,-0.000517,-0.000483,-0.000103,0.464133,0.08324,0.91676,0.00e+00,3.47e-18,KF did not converge
605305.SH,20260710,baseline_4d,false,unknown,卖出,0.4375,0.479167,0.083333,-0.225823,-0.047377,-0.002199,0.001554,0.001554,0.0,-0.000886,-0.000569,-0.000497,-1.1e-05,-0.000875,-0.0,0.112786,0.042576,0.957424,0.00e+00,4.77e-18,KF did not converge
