trade_date,symbol,window_id,mode_name,q_type,u_source_type,estimator_method,state_space_contract,psi_prediction_semantics,y_observed,y_hat_next,v_q_observed,v_hat_q_next,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,closure_impl_error,model_residual,param_stability_flag,m_eff_rank_eligible,data_leakage_check,m_slow_method,thin_trade_window,cross_symbol_comparable,domain_mapping_valid_flag,warnings
20260710,600067.SH,10,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.0,-0.000563,0.0,-0.000563,5.4e-05,-0.000943,0.000912,-2.2e-05,-0.000433,0.000487,0.0,0.000487,8.67e-19,-2.2e-05,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,11,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.0,-0.00301,0.0,-0.00301,-0.000102,-1.1e-05,-0.00045,0.000563,-0.0,-0.000102,-0.0,-0.000102,8.67e-19,0.000563,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,12,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.003597,-0.00029,-0.003597,-0.00029,-0.003292,0.000282,0.0,-0.000587,0.0,-0.003292,-0.0,-0.003292,8.67e-19,-0.000587,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,13,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.0,0.003447,0.0,0.003447,-0.000518,0.000665,-0.000437,0.00029,0.0,-0.000518,-0.0,-0.000518,8.67e-19,0.00029,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,14,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.00361,0.003567,0.00361,0.003567,0.002871,0.000145,0.000431,0.000163,0.0,0.002871,0.0,0.002871,8.67e-19,0.000163,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,15,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.003597,0.000212,0.003597,0.000212,0.004023,-0.000883,0.000427,3e-05,0.0,0.004023,0.0,0.004023,8.67e-19,3e-05,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,16,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.0,0.002169,0.0,0.002169,0.001162,-0.000948,-2e-06,-0.000212,9e-06,0.001153,0.0,0.001153,8.67e-19,-0.000212,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,17,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.003584,-0.003175,0.003584,-0.003175,0.002689,-0.000106,-0.000414,0.001415,0.0,0.002689,0.0,0.002689,8.67e-19,0.001415,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,18,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.003571,0.000146,-0.003571,0.000146,-0.003327,-0.000254,0.000407,-0.000397,6.2e-05,-0.003389,-0.0,-0.003389,8.67e-19,-0.000397,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
20260710,600067.SH,19,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.003584,0.001911,0.003584,0.001911,0.000186,0.000762,-0.000801,0.003438,2.9e-05,0.000157,0.0,0.000157,8.67e-19,0.003438,warn,true,pass,ewma_realtime,false,true,true,KF did not converge
