trade_date,symbol,file_role,file_path,file_exists,file_size,null_byte_ratio,encoding_used,header_valid,raw_row_count,effective_row_count,quality_status,reason_code,action
20260710,603517.SH,trade,C:\level-2-ana\data\20260710\20260710\603517.SH\逐笔成交.csv,true,341212,0.0,gb18030,true,3977,3977,ok,ok,use_raw
20260710,603517.SH,order,C:\level-2-ana\data\20260710\20260710\603517.SH\逐笔委托.csv,true,500751,0.0,gb18030,true,7684,7684,ok,ok,use_raw
20260710,603517.SH,quote,C:\level-2-ana\data\20260710\20260710\603517.SH\行情.csv,true,1290555,0.0,gb18030,true,3531,3531,ok,ok,use_raw
20260710,603578.SH,trade,C:\level-2-ana\data\20260710\20260710\603578.SH\逐笔成交.csv,true,390632,0.0,gb18030,true,4680,4680,ok,ok,use_raw
20260710,603578.SH,order,C:\level-2-ana\data\20260710\20260710\603578.SH\逐笔委托.csv,true,617740,0.0,gb18030,true,9831,9831,ok,ok,use_raw
20260710,603578.SH,quote,C:\level-2-ana\data\20260710\20260710\603578.SH\行情.csv,true,673798,0.0,gb18030,true,2149,2149,ok,ok,use_raw
20260710,603612.SH,trade,C:\level-2-ana\data\20260710\20260710\603612.SH\逐笔成交.csv,true,2247163,0.0,gb18030,true,26100,26100,ok,ok,use_raw
20260710,603612.SH,order,C:\level-2-ana\data\20260710\20260710\603612.SH\逐笔委托.csv,true,2574514,0.0,gb18030,true,39401,39401,ok,ok,use_raw
20260710,603612.SH,quote,C:\level-2-ana\data\20260710\20260710\603612.SH\行情.csv,true,1827829,0.0,gb18030,true,4781,4781,ok,ok,use_raw
20260710,603683.SH,trade,C:\level-2-ana\data\20260710\20260710\603683.SH\逐笔成交.csv,true,1623314,0.0,gb18030,true,18864,18864,ok,ok,use_raw
20260710,603683.SH,order,C:\level-2-ana\data\20260710\20260710\603683.SH\逐笔委托.csv,true,1967796,0.0,gb18030,true,30053,30053,ok,ok,use_raw
20260710,603683.SH,quote,C:\level-2-ana\data\20260710\20260710\603683.SH\行情.csv,true,1734371,0.0,gb18030,true,4654,4654,ok,ok,use_raw
20260710,603686.SH,trade,C:\level-2-ana\data\20260710\20260710\603686.SH\逐笔成交.csv,true,2695400,0.0,gb18030,true,31258,31258,ok,ok,use_raw
20260710,603686.SH,order,C:\level-2-ana\data\20260710\20260710\603686.SH\逐笔委托.csv,true,2972475,0.0,gb18030,true,45398,45398,ok,ok,use_raw
20260710,603686.SH,quote,C:\level-2-ana\data\20260710\20260710\603686.SH\行情.csv,true,1888811,0.0,gb18030,true,4918,4918,ok,ok,use_raw
20260710,603726.SH,trade,C:\level-2-ana\data\20260710\20260710\603726.SH\逐笔成交.csv,true,3899608,0.0,gb18030,true,45875,45875,ok,ok,use_raw
20260710,603726.SH,order,C:\level-2-ana\data\20260710\20260710\603726.SH\逐笔委托.csv,true,4044080,0.0,gb18030,true,63243,63243,ok,ok,use_raw
20260710,603726.SH,quote,C:\level-2-ana\data\20260710\20260710\603726.SH\行情.csv,true,1840675,0.0,gb18030,true,4999,4999,ok,ok,use_raw
20260710,603776.SH,trade,C:\level-2-ana\data\20260710\20260710\603776.SH\逐笔成交.csv,true,406450,0.0,gb18030,true,4710,4710,ok,ok,use_raw
20260710,603776.SH,order,C:\level-2-ana\data\20260710\20260710\603776.SH\逐笔委托.csv,true,599122,0.0,gb18030,true,9045,9045,ok,ok,use_raw
20260710,603776.SH,quote,C:\level-2-ana\data\20260710\20260710\603776.SH\行情.csv,true,1139898,0.0,gb18030,true,3110,3110,ok,ok,use_raw
20260710,603893.SH,trade,C:\level-2-ana\data\20260710\20260710\603893.SH\逐笔成交.csv,true,11699768,0.0,gb18030,true,135421,135421,ok,ok,use_raw
20260710,603893.SH,order,C:\level-2-ana\data\20260710\20260710\603893.SH\逐笔委托.csv,true,14841454,0.0,gb18030,true,226983,226983,ok,ok,use_raw
20260710,603893.SH,quote,C:\level-2-ana\data\20260710\20260710\603893.SH\行情.csv,true,1979722,0.0,gb18030,true,5137,5137,ok,ok,use_raw
20260710,603895.SH,trade,C:\level-2-ana\data\20260710\20260710\603895.SH\逐笔成交.csv,true,544438,0.0,gb18030,true,6334,6334,ok,ok,use_raw
20260710,603895.SH,order,C:\level-2-ana\data\20260710\20260710\603895.SH\逐笔委托.csv,true,1001689,0.0,gb18030,true,15276,15276,ok,ok,use_raw
20260710,603895.SH,quote,C:\level-2-ana\data\20260710\20260710\603895.SH\行情.csv,true,1265480,0.0,gb18030,true,3481,3481,ok,ok,use_raw
20260710,603900.SH,trade,C:\level-2-ana\data\20260710\20260710\603900.SH\逐笔成交.csv,true,1192758,0.0,gb18030,true,14024,14024,ok,ok,use_raw
20260710,603900.SH,order,C:\level-2-ana\data\20260710\20260710\603900.SH\逐笔委托.csv,true,1211300,0.0,gb18030,true,18882,18882,ok,ok,use_raw
20260710,603900.SH,quote,C:\level-2-ana\data\20260710\20260710\603900.SH\行情.csv,true,1524712,0.0,gb18030,true,4212,4212,ok,ok,use_raw
20260710,605028.SH,trade,C:\level-2-ana\data\20260710\20260710\605028.SH\逐笔成交.csv,true,307954,0.0,gb18030,true,3593,3593,ok,ok,use_raw
20260710,605028.SH,order,C:\level-2-ana\data\20260710\20260710\605028.SH\逐笔委托.csv,true,565048,0.0,gb18030,true,8690,8690,ok,ok,use_raw
20260710,605028.SH,quote,C:\level-2-ana\data\20260710\20260710\605028.SH\行情.csv,true,1024557,0.0,gb18030,true,2839,2839,ok,ok,use_raw
20260710,605066.SH,trade,C:\level-2-ana\data\20260710\20260710\605066.SH\逐笔成交.csv,true,597205,0.0,gb18030,true,7013,7013,ok,ok,use_raw
20260710,605066.SH,order,C:\level-2-ana\data\20260710\20260710\605066.SH\逐笔委托.csv,true,761857,0.0,gb18030,true,11751,11751,ok,ok,use_raw
20260710,605066.SH,quote,C:\level-2-ana\data\20260710\20260710\605066.SH\行情.csv,true,1402909,0.0,gb18030,true,3830,3830,ok,ok,use_raw
20260710,605155.SH,trade,C:\level-2-ana\data\20260710\20260710\605155.SH\逐笔成交.csv,true,373773,0.0,gb18030,true,4339,4339,ok,ok,use_raw
20260710,605155.SH,order,C:\level-2-ana\data\20260710\20260710\605155.SH\逐笔委托.csv,true,667379,0.0,gb18030,true,10144,10144,ok,ok,use_raw
20260710,605155.SH,quote,C:\level-2-ana\data\20260710\20260710\605155.SH\行情.csv,true,1080994,0.0,gb18030,true,2927,2927,ok,ok,use_raw
20260710,605196.SH,trade,C:\level-2-ana\data\20260710\20260710\605196.SH\逐笔成交.csv,true,5072582,0.0,gb18030,true,59028,59028,ok,ok,use_raw
20260710,605196.SH,order,C:\level-2-ana\data\20260710\20260710\605196.SH\逐笔委托.csv,true,6161269,0.0,gb18030,true,94505,94505,ok,ok,use_raw
20260710,605196.SH,quote,C:\level-2-ana\data\20260710\20260710\605196.SH\行情.csv,true,1840413,0.0,gb18030,true,4978,4978,ok,ok,use_raw
20260710,605305.SH,trade,C:\level-2-ana\data\20260710\20260710\605305.SH\逐笔成交.csv,true,1466360,0.0,gb18030,true,17031,17031,ok,ok,use_raw
20260710,605305.SH,order,C:\level-2-ana\data\20260710\20260710\605305.SH\逐笔委托.csv,true,2327195,0.0,gb18030,true,35335,35335,ok,ok,use_raw
20260710,605305.SH,quote,C:\level-2-ana\data\20260710\20260710\605305.SH\行情.csv,true,1726092,0.0,gb18030,true,4754,4754,ok,ok,use_raw
20260710,605358.SH,trade,C:\level-2-ana\data\20260710\20260710\605358.SH\逐笔成交.csv,true,20248863,0.0,gb18030,true,236859,236859,ok,ok,use_raw
20260710,605358.SH,order,C:\level-2-ana\data\20260710\20260710\605358.SH\逐笔委托.csv,true,21155331,0.0,gb18030,true,328860,328860,ok,ok,use_raw
20260710,605358.SH,quote,C:\level-2-ana\data\20260710\20260710\605358.SH\行情.csv,true,1908252,0.0,gb18030,true,5193,5193,ok,ok,use_raw
20260710,688008.SH,trade,C:\level-2-ana\data\20260710\20260710\688008.SH\逐笔成交.csv,true,21630673,0.0,gb18030,true,251655,251655,ok,ok,use_raw
20260710,688008.SH,order,C:\level-2-ana\data\20260710\20260710\688008.SH\逐笔委托.csv,true,30179729,0.0,gb18030,true,457180,457180,ok,ok,use_raw
20260710,688008.SH,quote,C:\level-2-ana\data\20260710\20260710\688008.SH\行情.csv,true,2035836,0.0,gb18030,true,5260,5260,ok,ok,use_raw
20260710,688009.SH,trade,C:\level-2-ana\data\20260710\20260710\688009.SH\逐笔成交.csv,true,1437926,0.0,gb18030,true,16847,16847,ok,ok,use_raw
20260710,688009.SH,order,C:\level-2-ana\data\20260710\20260710\688009.SH\逐笔委托.csv,true,2328755,0.0,gb18030,true,35638,35638,ok,ok,use_raw
20260710,688009.SH,quote,C:\level-2-ana\data\20260710\20260710\688009.SH\行情.csv,true,1909829,0.0,gb18030,true,4911,4911,ok,ok,use_raw
20260710,688028.SH,trade,C:\level-2-ana\data\20260710\20260710\688028.SH\逐笔成交.csv,true,1671658,0.0,gb18030,true,19342,19342,ok,ok,use_raw
20260710,688028.SH,order,C:\level-2-ana\data\20260710\20260710\688028.SH\逐笔委托.csv,true,2812279,0.0,gb18030,true,42843,42843,ok,ok,use_raw
