stock_code,transaction_date,mode,kf_converged,dominant_type,dominant_intention,hot_money_ratio,quant_ratio,retail_ratio,phi_tail,theta_tail,beta_ch_tail,beta_mix_tail,beta_q_tail,beta_retail_tail,c_p_tail,c_i_tail,c_d_tail,capital_ch_tail,capital_q_tail,capital_retail_tail,capital_anchor_error_tail,noise_ratio_tail,explain_ratio_tail,capital_identity_error,closure_error,warnings
600203.SH,20260709,baseline_4d,false,量化,买入,0.458333,0.541667,0,0.144466,-0.133256,0.002989,-0.003182,-0.003182,0,0.002442,-0.000369,0.000199,-0.000493,0.002934,0,0.039863,0.012259,0.987741,3.47e-18,3.47e-18,KF did not converge
600208.SH,20260709,baseline_4d,false,量化,买入,0.1875,0.8125,0,-0.693281,0.206579,-0.004583,0.009088,0.009088,0,0.013516,-0.009474,-0.000761,-0.013749,0.027265,0,0.030053,0.018665,0.981335,3.47e-18,1.73e-18,KF did not converge
600293.SH,20260709,baseline_4d,false,量化,买入,0.125,0.875,0,-0.116814,0.150577,-0.012653,-0.012936,-0.012936,0,0.003847,0.000481,-0.000593,-0,0.003847,0,0.430294,0.055102,0.944898,8.67e-19,1.73e-18,KF did not converge
600303.SH,20260709,baseline_4d,false,量化,卖出,0.125,0.875,0,-0.499588,0.270425,0.000086,0.002625,0.002625,0,-0.002945,0.00005,-0.001099,-0.000003,-0.002942,-0,0.001046,0.013424,0.986576,8.67e-19,1.73e-18,KF did not converge
600330.SH,20260709,baseline_4d,false,游资,买入,0.520833,0.458333,0.020833,0.717029,-0.399851,-0.013742,0.000475,0.000475,0,0.000086,-0.001053,0.000954,0.00097,-0.000884,-0,0.497826,1284.504221,0,3.47e-18,3.47e-18,KF did not converge
600379.SH,20260709,baseline_4d,false,量化,卖出,0.395833,0.583333,0.020833,0.295132,0.097046,-0.01291,0.00835,0.00835,0,-0.001112,-0.002298,-0.001164,0.003366,-0.004478,-0,0.417019,0.025805,0.974195,3.47e-18,6.94e-18,KF did not converge
600382.SH,20260709,baseline_4d,false,量化,买入,0.229167,0.770833,0,0.649866,-0.202967,-0.006439,-0.00558,-0.00558,0,0.00268,-0.002016,0.000969,-0.000313,0.002992,0,0.358268,0.023792,0.976208,4.34e-19,2.60e-18,KF did not converge
600396.SH,20260709,baseline_4d,false,游资,买入,0.583333,0.395833,0.020833,0.120013,-0.527038,0.001061,-0.000301,-0.000301,0,0.000486,-0.000035,-0.000431,0.000201,0.000286,0,0.291844,2080.196667,0,3.47e-18,3.47e-18,KF did not converge
600448.SH,20260709,baseline_4d,false,量化,买入,0.145833,0.833333,0.020833,-0.735916,0.135923,-0.042326,-0.000007,-0.000007,0,0.000008,-0.000011,0,-0,0.000008,0,0,300.19268,0,1.73e-18,1.73e-18,KF did not converge
600479.SH,20260709,baseline_4d,false,量化,买入,0.166667,0.8125,0.020833,-0.031507,0.203441,0.001009,0.00065,0.00065,0,0.002085,0.000068,0,0.001613,0.000473,0,0.767186,0.015266,0.984734,8.67e-19,8.67e-19,KF did not converge
600527.SH,20260709,baseline_4d,false,量化,买入,0.125,0.875,0,-0.539562,0.11705,-0.003467,-0.002249,-0.002249,0,0.000327,0.000029,-0.000571,-0,0.000327,0,0,21498.493193,0,1.73e-18,1.73e-18,KF did not converge
600530.SH,20260709,baseline_4d,false,量化,买入,0.125,0.833333,0.041667,-0.676042,0.518979,-0.008598,-0.001084,-0.001084,0,0.00399,0.003414,-0.003889,0.000738,0.003252,0,0.773278,0.066817,0.933183,1.73e-18,1.73e-18,KF did not converge
600578.SH,20260709,baseline_4d,false,量化,卖出,0.375,0.625,0,0.325719,-0.625978,-0.021644,0.005959,0.005959,0,-0.002957,-0.001313,0.004295,0.001456,-0.004413,-0,0.389493,2508.315863,0,0.00e0,3.47e-18,KF did not converge
600589.SH,20260709,baseline_4d,false,量化,卖出,0.416667,0.583333,0,0.112526,-0.045142,0.003831,0.001676,0.001676,0,-0.003317,-0.000239,0.000153,-0.001609,-0.001708,-0,0.482026,0.006266,0.993734,8.67e-19,3.47e-18,KF did not converge
600611.SH,20260709,baseline_4d,false,量化,买入,0.125,0.854167,0.020833,-0.143949,0.02582,0.00423,-0.003177,-0.003177,0,0.002647,0.000147,0,-0.000161,0.002809,0,0.47387,0.005821,0.994179,4.34e-19,3.47e-18,KF did not converge
600676.SH,20260709,baseline_4d,false,量化,卖出,0.3125,0.666667,0.020833,-0.008559,0.117414,-0.023209,-0.003512,-0.003512,0,-0.00349,0.001476,0.000508,-0,-0.00349,-0,0.022389,0.049826,0.950174,3.47e-18,3.04e-18,KF did not converge | Capital anchor consistency is weak
600719.SH,20260709,baseline_4d,false,量化,卖出,0.291667,0.6875,0.020833,0.427949,-0.454696,0.002356,-0.000752,-0.000752,0,0.000324,-0.000066,0.001211,0.000501,-0.000176,-0,0.726856,0.106316,0.893684,4.34e-19,3.47e-18,KF did not converge
600726.SH,20260709,baseline_4d,false,量化,卖出,0.354167,0.625,0.020833,-0.198638,-0.235692,0.001187,0.000303,0.000303,0,-0.004174,0.000407,0.001941,-0.003561,-0.000613,-0,0.840071,0.108366,0.891634,1.73e-18,1.73e-18,KF did not converge | Capital anchor consistency is weak
600736.SH,20260709,baseline_4d,false,量化,卖出,0.1875,0.791667,0.020833,0.182749,-0.463473,0.012973,-0.010464,-0.010464,0,-0.003325,0.000058,0.002045,0.000572,-0.003898,-0,0.121387,0.16474,0.83526,4.34e-19,1.73e-18,KF did not converge
600758.SH,20260709,baseline_4d,false,量化,买入,0.104167,0.875,0.020833,-0.364954,0.116511,-0.001886,0.001439,0.001439,0,0.002639,0.001071,-0.000398,-0.000256,0.002895,0,0.081347,0.032978,0.967022,3.47e-18,1.73e-18,KF did not converge
600759.SH,20260709,baseline_4d,false,量化,卖出,0.25,0.75,0,-0.911585,0.347509,0.014839,0.012817,0.012817,0,-0.006905,0.010722,-0.004187,0.001899,-0.008804,-0,0.171028,36942.965888,0,4.34e-19,3.47e-18,KF did not converge
600768.SH,20260709,baseline_4d,false,量化,买入,0.229167,0.729167,0.041667,-0.248115,0.018437,-0.001311,-0.000104,-0.000104,0,0.004022,-0.000059,0.000012,0.003932,0.00009,0,0.977624,0.011926,0.988074,2.60e-18,1.73e-18,KF did not converge
600782.SH,20260709,baseline_4d,false,量化,买入,0.166667,0.833333,0,-0.763707,0.129432,-0.00267,-0.007124,-0.007124,0,0.003898,0.00039,-0.000516,-0,0.003898,0,0,0.049333,0.950667,4.34e-19,1.73e-18,KF did not converge
600785.SH,20260709,baseline_4d,false,量化,买入,0.166667,0.791667,0.041667,-0.081804,-0.051235,0.006115,-0.001318,-0.001318,0,0.002383,0.000462,0.000326,-0.001573,0.003955,0,0.32956,0.009636,0.990364,4.34e-19,1.73e-18,KF did not converge
600796.SH,20260709,baseline_4d,false,量化,卖出,0.083333,0.916667,0,0.069499,-0.140735,0.001032,0.000303,0.000303,0,-0.0003,-0.000031,0.000303,0,-0.0003,-0,0.002386,2805.859677,0,4.34e-19,1.73e-18,KF did not converge
