trade_date,symbol,window_id,mode_name,q_type,u_source_type,estimator_method,state_space_contract,psi_prediction_semantics,y_observed,y_hat_next,v_q_observed,v_hat_q_next,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,beta_norm_ch_diag,beta_norm_q_diag,beta_norm_retail_diag,beta_norm_mix_diag,m_eff_ch_diag,m_eff_q_diag,m_eff_retail_diag,m_eff_mix_diag,beta_norm_unit,m_eff_source_type,m_eff_clipped_flag,closure_impl_error,model_residual,param_stability_flag,m_eff_rank_eligible,data_leakage_check,m_slow_method,thin_trade_window,cross_symbol_comparable,domain_mapping_valid_flag,warnings
20260710,600030.SH,25,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.0014,-0.000249,0.0014,-0.000249,0.001743,0.000018,-0.00043,0.000069,0.005339,-0.003596,-0,-0.003596,0.001916,-0.001481,,-0.001481,521.817454,675.242238,,675.242238,amount_response,amount_ratio_proxy,false,4.34e-19,0.000069,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,26,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.00035,-0.001813,-0.00035,-0.001813,-0.001478,-0.000057,0.001287,-0.000101,-0.002727,0.001249,0,0.001249,-0.000568,0.000533,,0.000533,1760.01019,1875.167366,,1875.167366,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000101,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,27,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001748,-0.001407,-0.001748,-0.001407,-0.001355,-0.000028,-0.00043,0.000065,-0.003345,0.00199,0,0.00199,0.01428,-0.000517,,-0.000517,70.026226,1932.893408,,1932.893408,amount_response,amount_ratio_proxy,false,4.34e-19,0.000065,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,28,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001401,-0.000677,-0.001401,-0.000677,-0.00121,0.000146,-0.000344,0.000006,0.000122,-0.001332,-0,-0.001332,0.000188,0.000721,-0,0.000721,5306.776608,1387.263051,1000000,1386.419044,amount_response,amount_ratio_proxy,true,4.34e-19,0.000006,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,29,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.000702,-0.001078,-0.000702,-0.001078,-0.000857,0.000094,0.000085,-0.000025,-0.000215,-0.000581,-0.000061,-0.000642,0.002056,0.00009,,0.0001,486.436676,11067.530488,,10021.608391,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000025,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,30,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001053,-0.001396,-0.001053,-0.001396,-0.001283,0.000034,0.000172,0.000025,0.000015,-0.001298,-0,-0.001298,-0.00001,0.000169,-0,0.000169,98942.603638,5923.42485,1000000,5921.206968,amount_response,amount_ratio_proxy,true,4.34e-19,0.000025,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,31,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001405,-0.002032,-0.001405,-0.002032,-0.001391,0.000081,-0.000086,-0.00001,-0.000155,-0.001161,-0.000075,-0.001236,0.00005,0.000362,,0.000385,19936.8274,2762.862942,,2596.113604,amount_response,amount_ratio_proxy,false,4.34e-19,-0.00001,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,32,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.002111,0.002405,-0.002111,0.002405,-0.002033,0.000087,-0.000087,-0.000079,-0.001144,-0.000889,-0,-0.000889,0.000511,0.000135,,0.000135,1955.137887,7418.822228,,7418.822228,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000079,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,33,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.002468,-0.000007,0.002468,-0.000007,0.00248,0.000098,-0.000173,0.000063,0.000138,0.002342,0,0.002342,0.000029,0.000773,,0.000773,34779.841874,1294.109998,,1294.109998,amount_response,amount_ratio_proxy,false,4.34e-19,0.000063,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,34,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0,-0.001991,0,-0.001991,-0.001002,-0.00013,0.001124,0.000007,-0.000802,-0.0002,-0,-0.0002,-0.000243,-0.000033,,-0.000033,4109.191895,30664.194112,,30664.194112,amount_response,amount_ratio_proxy,false,4.34e-19,0.000007,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,35,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.00211,-0.001651,-0.00211,-0.001651,-0.001389,0.000003,-0.000606,-0.000119,-0.001241,-0.000147,-0,-0.000147,-0.0022,0.000082,,0.000082,454.54519,12149.133353,,12149.133353,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000119,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,36,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.002115,0.001008,-0.002115,0.001008,-0.001211,0.000078,-0.000518,-0.000464,-0.000284,-0.000927,-0,-0.000927,0.000057,0.000377,-0,0.000377,17581.528458,2654.888938,1000000,2653.746732,amount_response,amount_ratio_proxy,true,4.34e-19,-0.000464,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,37,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.00106,-0.000606,0.00106,-0.000606,0.001103,-0.000094,-0.000001,0.000052,0.002543,-0.001341,-0.000099,-0.00144,0.002347,-0.000539,,-0.000579,426.009701,1855.138584,,1727.634372,amount_response,amount_ratio_proxy,false,4.34e-19,0.000052,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,38,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,-0.001059,0.00293,-0.001059,0.00293,-0.001341,-0.000043,0.000779,-0.000453,-0.000589,-0.000752,-0,-0.000752,-0.000212,-0.000113,,-0.000113,4714.697549,8826.243811,,8826.243811,amount_response,amount_ratio_proxy,false,4.34e-19,-0.000453,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
20260710,600030.SH,39,baseline_4d,window_index,mv_ratio,kalman_filter_realtime,psi_transition_observation_prediction,psi_t_prior_for_prediction,0.003179,-0.001614,0.003179,-0.001614,0.003606,-0.000157,-0.00052,0.000249,-0.000213,0.003819,0,0.003819,-0.000059,0.000451,,0.000451,16978.610907,2217.948049,,2217.948049,amount_response,amount_ratio_proxy,false,4.34e-19,0.000249,warn,false,pass,ewma_realtime,false,false,true,KF did not converge
