stock_code,transaction_date,window_id,c_p,c_i,c_d,eps,capital_ch,capital_q,capital_retail,capital_mix,noise_ratio,explain_ratio,capital_anchor_error,closure_error
600018.SH,20260709,6,0.000622,-0.000643,-0.001696,-0.000249,-0.00009,0.000713,0,0.0007120000000000001,0.12650710326289977,0.873493,0.331141,4.34e-19
600018.SH,20260709,7,-0.000269,0.000383,0.001692,0.000163,-0.000551,0.000282,0,0.00028199999999999997,0.08293692724871851,0.917063,0.661709,4.34e-19
600018.SH,20260709,8,-0.0023,-0.000426,-0.001124,-0.000079,-0,-0.0023,-0,-0.0023,0.020127893089675348,0.979872,0.77987,4.34e-19
600018.SH,20260709,9,-0.004505,0.000974,0.001683,-0.000125,-0.004084,-0.00042,-0,-0.00042100000000000037,0.06346142207230014,0.936539,0.12315,4.34e-19
600018.SH,20260709,10,0.00011,0.000446,-0.000558,0.000002,0.000776,-0.000667,-0,-0.000666,186.30376659113568,0,0.538047,4.34e-19
600018.SH,20260709,11,0.000447,0.000001,-0.000562,0.000113,-0,0.000447,0,0.000447,11332.473689878076,0,0,4.34e-19
600018.SH,20260709,12,-0.000046,0.000057,-0,-0.000011,0,-0.000046,-0,-0.000046,1091.358900794403,0,0,4.34e-19
600018.SH,20260709,13,0.003934,-0.000005,-0,0.000024,0,0.003934,0,0.003934,0.006159193823129537,0.993841,0.556497,4.34e-19
600018.SH,20260709,14,0.000179,-0.001008,-0.001121,-0.000019,0.002044,-0.001865,-0,-0.001865,0.009507314915672135,0.990493,0.522901,4.34e-19
600018.SH,20260709,15,-0.000201,0.000498,0.001678,-0.000003,0,-0.000201,-0,-0.000201,0.00153552736704364,0.998464,0.552832,4.34e-19
600018.SH,20260709,16,0.001582,-0.00051,-0.001115,0.000044,0.001673,-0.00009,-0,-0.00009099999999999994,4357.119025636541,0,0.939539,4.34e-19
600018.SH,20260709,17,-0.002521,0.000022,0.000558,-0.000027,0.000087,-0.002608,-0,-0.0026079999999999996,0.013809556722160816,0.98619,0.032368,4.34e-19
600018.SH,20260709,18,-0.000962,0.000494,0.000556,-0.000088,0,-0.000962,-0,-0.000962,8777.196541177347,0,0,4.34e-19
600018.SH,20260709,19,0.000535,-0.000044,-0.000555,0.000064,0,0.000535,0,0.000535,6440.441482101879,0,0.253804,4.34e-19
600018.SH,20260709,20,0.001447,0.000032,-0,0.000493,0.000726,0.000721,0,0.000721,0.25016862227132125,0.749831,0.501919,4.34e-19
600018.SH,20260709,21,0.000126,-0.000262,-0.000555,0.000691,0,0.000126,0,0.000126,69129.78104762902,0,0,4.34e-19
600018.SH,20260709,22,-0.001018,0.000346,0.000555,-0.001851,0,-0.001018,-0,-0.001018,0.9403476172926238,0.059652,0.000963,4.34e-19
600018.SH,20260709,23,-0.002419,-0.000417,0.000553,0.000311,-0.000009,-0.00241,-0,-0.0024100000000000002,0.15782267438584283,0.842177,0.003688,4.34e-19
600018.SH,20260709,24,0.000542,0.000665,0.000001,0.000769,0,0.000542,0,0.000542,0.388962020810751,0.611038,0.010889,4.34e-19
