stock_code,transaction_date,window_id,order_age_missing_count,window_close_price,active_inferred_count,small_passive_buy_amount,order_age_fifo_count,active_buy_count,deal_amount,Q_rule_t,small_passive_sell_amount,signal_deal_buy_amount,window_trade_count,R_seed_t,order_age_unresolved_count,large_active_buy_amount,large_active_sell_amount,passive_quant_amount,passive_retail_amount,side_fallback_count,order_age_direct_count,active_buy_amount,pi_max_price_impact_pct,order_age_recovered_count,active_sell_amount,window_open_price,active_sell_count,active_non_large_amount,signed_large_active_amount,CH_rule_t,signed_mix_qr_amount,signal_deal_sell_amount,unknown_side_amount
000002.SZ,20260709,8,0,3,659,1401880,0,379,4403852,-1647048,3001972,1401880,663,0,0,0,0,-5117,0,0,663,1378402,-0.003322259136212554,663,3020333,3.01,280,-1641931,0,0,-1600092,3001972,0
000002.SZ,20260709,9,0,3,355,298592,0,62,3281492,-1919308,2217900,298592,355,0,0,0,765000,0,0,0,355,298592,0,355,2982900,3.01,293,-1919308,-765000,-765000,-1919308,2982900,0
000002.SZ,20260709,10,0,2.99,720,1910131,0,519,3325867,456595,1415736,1910131,720,0,0,0,0,0,0,0,720,1891231,-0.0033333333333332624,720,1434636,3,201,456595,0,0,494395,1415736,0
000002.SZ,20260709,11,0,2.98,981,563377,0,125,7911736,-6786180,7347763,563377,981,0,0,0,596,0,0,0,981,562480,-0.0033444816053512477,981,7349256,2.99,856,-6786180,-596,-596,-6784386,7348359,0
000002.SZ,20260709,12,0,2.99,232,252655,0,75,1497401,-992091,1244746,252655,232,0,0,0,0,0,0,0,232,252655,0.0033557046979866547,232,1244746,2.98,157,-992091,0,0,-992091,1244746,0
000002.SZ,20260709,13,0,2.99,378,327704,0,67,3162876,-2507468,2835172,327704,378,0,0,0,0,0,0,0,378,327704,0,378,2835172,2.99,311,-2507468,0,0,-2507468,2835172,0
000002.SZ,20260709,14,0,2.98,558,1045200,0,144,5047674,-2967729,3995049,1045200,558,0,0,0,7425.000000000001,0,0,0,558,1036260,-0.0033444816053512477,558,4011414,2.99,414,-2967729,-7425.000000000001,-7425.000000000001,-2949849,4002474,0
000002.SZ,20260709,15,0,2.98,217,852280,0,141,1316491,388069,464211,852280,217,0,0,0,0,0,0,0,217,852280,0,217,464211,2.98,76,388069,0,0,388069,464211,0
000002.SZ,20260709,16,0,2.97,197,606430,0,113,2723149,-452969,1059399,606430,197,0,0,0,1057320,0,0,0,197,606430,-0.0033557046979865056,197,2116719,2.97,84,-452969,-1057320,-1057320,-452969,2116719,0
000002.SZ,20260709,17,0,2.96,848,591642,0,637,12954238.3,7192733.3,10209049.3,591642,848,0,0,2153547,0,0,0,0,848,11150259.3,-0.0033670033670034445,848,1803979,2.97,211,7192733.3,2153547,2153547,-9617407.3,12362596.3,0
000002.SZ,20260709,18,0,2.97,301,1563111,0,192,3356279,275807,1287304,1563111,301,0,0,0,505864,0,0,0,301,1563111,0.0033783783783784566,301,1793168,2.97,109,275807,-505864,-505864,275807,1793168,0
000002.SZ,20260709,19,0,2.97,310,1578852,0,227,2597388,560316,1018536,1578852,310,0,0,0,0,0,0,0,310,1578852,0,310,1018536,2.97,83,560316,0,0,560316,1018536,0
000002.SZ,20260709,20,0,2.97,250,1042767,0,99,2647679,-562145,1604912,1042767,250,0,0,0,0,0,0,0,250,1042767,0,250,1604912,2.96,151,-562145,0,0,-562145,1604912,0
000002.SZ,20260709,21,0,2.97,241,1158003,0,172,1779307,536699,621304,1158003,241,0,0,0,0,0,0,0,241,1158003,0,241,621304,2.97,69,536699,0,0,536699,621304,0
000002.SZ,20260709,22,0,2.97,195,882981,0,103,1807093,-41131,924112,882981,195,0,0,0,0,0,0,0,195,882981,0,195,924112,2.97,92,-41131,0,0,-41131,924112,0
000002.SZ,20260709,23,0,2.97,431,2011878,0,267,3201206,822550,1189328,2011878,431,0,0,0,0,0,0,0,431,2011878,0,431,1189328,2.97,164,822550,0,0,822550,1189328,0
000002.SZ,20260709,24,0,2.96,686,2566674,0,489,4221906,911442,1655232,2566674,686,0,0,0,0,0,0,0,686,2566674,-0.0033670033670034445,686,1655232,2.97,197,911442,0,0,911442,1655232,0
000002.SZ,20260709,25,0,2.97,1112,4719668.58,0,851,6420585.79,3638861.79,1696149.21,4724436.58,1112,0,0,4768,0,0,0,0,1112,5032107.79,0.0033783783783784566,1112,1388478,2.96,261,3638861.79,4768,4768,3023519.37,1696149.21,0
000002.SZ,20260709,26,0,2.98,337,1162042,0,161,2526638.2,29105.799999999977,1364596.2,1162042,337,0,0,0,0,0,0,0,337,1277872,0.003367003367003295,337,1248766.2,2.97,176,29105.799999999977,0,0,-202554.2,1364596.2,0
